start_station_id,end_station_id,n_trips,duration
48,39,153,622600
48,41,119,160170
48,42,150,145582
48,45,69,56084
48,46,90,94200
48,47,63,156987
48,48,620,2932682
48,49,173,101235
48,50,731,1396426
48,51,250,214807
48,54,565,474104
48,55,457,225302
48,56,457,198492
48,57,96,184509
48,58,30,78112
48,59,45,170575
48,60,1181,2720617
48,61,536,764919
48,62,50,201944
48,63,108,69323
48,64,302,219760
48,65,103,124911
48,66,92,264766
48,67,78,409724
48,68,82,129636
48,69,387,368743
48,70,1115,1246429
48,71,140,456787
48,72,112,210416
48,73,209,540891
48,74,1449,792333
48,75,177,443944
48,76,222,753153
48,77,122,296535
48,82,59,82545
49,39,176,150928
49,41,189,152446
49,42,247,171764
49,45,323,175051
49,46,94,167599
49,47,133,105165
49,48,206,220639
49,49,323,992162
49,50,682,332141
49,51,62,298955
49,54,288,150994
49,55,186,45058
49,56,295,113612
49,57,353,202725
49,58,26,30385
49,59,107,113745
49,60,551,674401
49,61,1158,523777
49,62,275,104541
49,63,293,149058
49,64,448,168723
49,65,697,743977
49,66,97,116430
49,67,150,205215
49,68,372,261116
49,69,819,542206
49,70,1493,897901
49,71,133,150292
49,72,97,94822
49,73,167,276434
49,74,541,264507
49,75,306,124555
49,76,300,307052
49,77,166,297091
49,82,196,101898
50,39,676,1249861
50,41,273,453748
50,42,320,425809
50,45,508,428287
50,46,249,608541
50,47,496,728817
50,48,1286,2375571
50,49,381,267196
50,50,1733,10819388
50,51,212,233145
50,54,1187,913080
50,55,576,357523
50,56,160,335036
50,57,601,559237
50,58,130,274581
50,59,122,525675
50,60,6164,7793685
50,61,4357,2913319
50,62,625,1203096
50,63,781,486513
50,64,924,733052
50,65,1284,1351522
50,66,212,713320
50,67,357,1232048
50,68,793,833919
50,69,1391,1434744
50,70,3033,2797767
50,71,483,1175640
50,72,171,1070558
50,73,580,1540024
50,74,108,478978
50,75,708,677813
50,76,794,1117314
50,77,1005,850025
50,82,254,277306
51,39,124,142951
51,41,93,51144
51,42,173,211501
51,45,154,107873
51,46,334,183313
51,47,112,74204
51,48,206,326238
51,49,60,82143
51,50,343,324636
51,51,358,1278208
51,54,873,347442
51,55,114,45497
51,56,127,209698
51,57,151,106154
51,58,9,11189
51,59,24,39799
51,60,798,883615
51,61,1201,783530
51,62,81,57037
51,63,288,110157
51,64,345,154271
51,65,347,398311
51,66,90,141467
51,67,61,103323
51,68,309,256951
51,69,1572,991430
51,70,3967,2844287
51,71,89,168076
51,72,52,84859
51,73,229,236319
51,74,463,241045
51,75,264,130922
51,76,211,247630
51,77,299,227973
51,82,133,73474
54,23,1,4436
54,39,88,93903
54,41,478,304724
54,42,188,134365
54,45,469,322497
54,46,99,72542
54,47,99,253129
54,48,952,894479
54,49,361,157656
54,50,1486,1001417
54,51,783,450495
54,54,580,2734969
54,55,311,111667
54,56,280,132361
54,57,104,78801
54,58,17,26363
54,59,33,68445
54,60,1318,2329041
54,61,731,441434
54,62,186,84254
54,63,209,107820
54,64,122,57644
54,65,435,324303
54,66,36,79339
54,67,51,487185
54,68,147,113395
54,69,715,414143
54,70,2054,1347587
54,71,99,230645
54,72,64,78159
54,73,116,227376
54,74,921,650333
54,75,705,503476
54,76,135,218823
54,77,188,194771
54,82,250,174227
55,39,432,563814
55,41,707,240636
55,42,275,144336
55,45,1142,488953
55,46,328,245205
55,47,312,148100
55,48,646,402181
55,49,290,168648
55,50,690,320967
55,51,141,47068
55,54,412,136352
55,55,275,1232408
55,56,341,229319
55,57,1368,593647
55,58,46,65624
55,59,717,704040
55,60,905,685317
55,61,1974,969686
55,62,369,180940
55,63,672,322979
55,64,959,451838
55,65,1418,1222264
55,66,550,587336
55,67,654,604785
55,68,683,226714
55,69,2022,1226266
55,70,3526,2309366
55,71,144,154279
55,72,605,478865
55,73,426,353571
55,74,288,112378
55,75,289,124056
55,76,1147,641287
55,77,371,218647
55,82,965,497775
56,39,411,477253
56,41,82,85455
56,42,379,246184
56,45,728,216210
56,46,136,163816
56,47,141,167307
56,48,856,481163
56,49,585,230771
56,50,388,276244
56,51,209,60492
56,54,443,281829
56,55,1151,207456
56,56,255,1751908
56,57,124,148085
56,58,48,151140
56,59,80,374556
56,60,1084,980647
56,61,1172,802124
56,62,95,52527
56,63,185,78402
56,64,458,255476
56,65,204,207017
56,66,144,178032
56,67,326,336159
56,68,128,60885
56,69,1045,737431
56,70,2042,1552883
56,71,188,208924
56,72,164,191129
56,73,347,437002
56,74,108,128517
56,75,77,160128
56,76,480,886387
56,77,191,347981
56,82,1254,593607
56,83,1,20586
57,22,1,4148
57,39,374,376604
57,41,164,108089
57,42,70,50503
57,45,352,192939
57,46,114,112853
57,47,194,114177
57,48,161,292359
57,49,306,199789
57,50,576,522545
57,51,140,92620
57,54,71,69513
57,55,856,453992
57,56,136,106968
57,57,400,2781728
57,58,74,49318
57,59,111,97850
57,60,402,779482
57,61,177,126880
57,62,239,100017
57,63,272,117894
57,64,326,173759
57,65,589,446493
57,66,290,466722
57,67,492,355897
57,68,156,218887
57,69,1732,965682
57,70,2311,1093096
57,71,188,206955
57,72,460,209680
57,73,125,288623
57,74,532,494757
57,75,141,124290
57,76,348,292670
57,77,518,313764
57,82,128,141693
58,10,1,80183
58,39,414,568430
58,41,17,108084
58,42,23,80775
58,45,71,157562
58,46,43,46857
58,47,180,163737
58,48,15,33872
58,49,60,62383
58,50,159,266960
58,51,11,11453
58,54,15,18908
58,55,52,43603
58,56,68,58357
58,57,103,68154
58,58,268,1369298
58,59,92,287466
58,60,118,677564
58,61,51,105182
58,62,42,42543
58,63,39,30834
58,64,106,94331
58,65,271,182703
58,66,220,174321
58,67,190,338755
58,68,67,53171
58,69,309,225391
58,70,395,261641
58,71,121,338663
58,72,142,556848
58,73,126,218485
58,74,92,269351
58,75,109,116749
58,76,315,372905
58,77,210,358482
58,82,20,85335
59,39,349,326631
59,41,66,55050
59,42,26,28095
59,45,55,65633
59,46,43,62334
59,47,198,134329
59,48,182,272305
59,49,141,140615
59,50,135,151786
59,51,27,24599
59,54,37,44239
59,55,607,510993
59,56,126,96225
59,57,229,184897
59,58,88,219660
59,59,210,1497086
59,60,208,430795
59,61,73,85273
59,62,26,22636
59,63,78,59688
59,64,112,99023
59,65,576,379943
59,66,297,202540
59,67,247,131805
59,68,364,273926
59,69,441,329416
59,70,722,533094
59,71,138,642506
59,72,370,227757
59,73,39,140368
59,74,288,427826
59,75,86,88414
59,76,307,224335
59,77,439,311449
59,82,12,15987
60,39,790,1414439
60,41,884,641657
60,42,759,471932
60,45,396,362090
60,46,364,555894
60,47,307,350128
60,48,625,1205024
60,49,442,305656
60,50,3231,2903217
60,51,777,491531
60,54,720,889043
60,55,1243,1161269
60,56,1076,719214
60,57,282,418037
60,58,57,211457
60,59,314,705478
60,60,2092,9209028
60,61,1126,1284485
60,62,107,197918
60,63,353,356954
60,64,157,336172
60,65,187,555631
60,66,280,675098
60,67,205,674342
60,68,284,365317
60,69,504,777397
60,70,1312,1648009
60,71,505,1306484
60,72,415,797103
60,73,589,1715313
60,74,4269,2316082
60,75,802,887084
60,76,970,1598775
60,77,971,1278075
60,82,318,327003
61,22,1,2525
61,39,179,173512
61,41,636,571853
61,42,568,411233
61,45,240,242256
61,46,158,163784
61,47,408,292583
61,48,583,794968
61,49,858,465460
61,50,4839,2821533
61,51,862,475754
61,54,451,451469
61,55,1181,623350
61,56,498,362076
61,57,261,323640
61,58,28,84375
61,59,59,388822
61,60,957,1255314
61,61,683,2142857
61,62,876,288472
61,63,990,373004
61,64,194,135385
61,65,795,455217
61,66,146,191244
61,67,153,314279
61,68,441,242978
61,69,864,233231
61,70,1510,957710
61,71,292,444926
61,72,141,357493
61,73,230,344740
61,74,2877,1688549
61,75,472,460107
61,76,542,544546
61,77,1493,1063290
61,82,371,311713
62,39,543,298186
62,41,471,228584
62,42,116,117571
62,45,214,149764
62,46,266,153865
62,47,252,159727
62,48,85,108017
62,49,758,217586
62,50,1020,500067
62,51,252,155163
62,54,242,91854
62,55,668,171599
62,56,229,152387
62,57,323,154169
62,58,36,30490
62,59,36,64334
62,60,219,420646
62,61,825,315531
62,62,206,770584
62,63,379,129180
62,64,704,202861
62,65,507,365073
62,66,96,115375
62,67,228,208237
62,68,237,112509
62,69,878,502541
62,70,2121,1235755
62,71,194,165039
62,72,179,194865
62,73,202,264996
62,74,301,151083
62,75,134,75457
62,76,453,305166
62,77,2465,915895
62,82,101,68299
63,39,268,424317
63,41,184,102085
63,42,91,56807
63,45,134,84086
63,46,140,73649
63,47,180,88639
63,48,132,168723
63,49,218,182296
63,50,665,318055
63,51,282,168722
63,54,214,173215
63,55,158,90241
63,56,140,133473
63,57,811,297588
63,58,35,37069
63,59,93,97302
63,60,287,395337
63,61,714,644312
63,62,95,92183
63,63,257,1037702
63,64,1007,312372
63,65,378,290010
63,66,303,302709
63,67,244,524188
63,68,257,158701
63,69,1153,741787
63,70,2394,1251485
63,71,241,233602
63,72,193,167802
63,73,135,191584
63,74,658,249692
63,75,106,66996
63,76,456,257457
63,77,478,404673
63,82,62,39876
64,39,289,243328
64,41,241,164326
64,42,125,99159
64,45,199,179130
64,46,278,335274
64,47,588,324119
64,48,373,341787
64,49,456,209661
64,50,1266,836258
64,51,257,169858
64,54,198,105673
64,55,917,462617
64,56,219,120949
64,57,425,304042
64,58,84,106562
64,59,111,191096
64,60,224,338663
64,61,297,224267
64,62,417,157806
64,63,915,502487
64,64,435,900424
64,65,642,466838
64,66,142,160794
64,67,223,231100
64,68,424,200904
64,69,1283,541142
64,70,1785,777283
64,71,257,241259
64,72,164,249310
64,73,136,404535
64,74,502,431750
64,75,317,166557
64,76,579,480089
64,77,3627,1960251
64,82,101,93676
65,39,713,568966
65,41,88,93581
65,42,114,133901
65,45,139,164755
65,46,59,83661
65,47,382,293155
65,48,148,166725
65,49,515,454584
65,50,1449,1400216
65,51,283,245318
65,54,257,243853
65,55,1234,1283511
65,56,179,157466
65,57,435,246171
65,58,88,67894
