year,start_station_id,end_station_id,n_trips,duration
2013,10,2,77,44484
2013,10,3,22,19463
2013,10,4,13,42768
2013,10,5,16,11648
2013,10,6,28,18726
2013,10,7,42,17994
2013,10,8,129,37691
2013,10,9,31,22210
2013,10,10,50,348798
2013,10,11,64,57686
2013,10,12,27,8909
2013,10,13,9,5712
2013,10,14,2,1824
2013,10,16,17,356272
2013,11,2,37,22112
2013,11,3,14,9894
2013,11,4,8,12737
2013,11,5,10,16729
2013,11,6,32,60990
2013,11,7,36,21216
2013,11,8,25,14932
2013,11,9,45,30785
2013,11,10,32,58749
2013,11,11,52,302439
2013,11,12,17,18128
2013,11,13,17,14593
2013,11,14,6,4710
2013,11,16,70,42077
2013,12,2,14,10751
2013,12,3,6,3897
2013,12,4,33,13871
2013,12,5,8,4496
2013,12,6,15,8504
2013,12,7,16,13222
2013,12,8,23,12706
2013,12,9,13,95089
2013,12,10,20,10501
2013,12,11,18,9228
2013,12,12,24,212987
2013,12,13,20,6561
2013,12,14,2,7981
2013,12,16,57,427497
2013,13,2,87,57402
2013,13,3,12,8517
2013,13,4,4,1907
2013,13,5,5,2532
2013,13,6,36,14239
2013,13,7,14,10759
2013,13,8,14,8675
2013,13,9,23,26759
2013,13,10,11,7108
2013,13,11,10,5835
2013,13,12,18,7702
2013,13,13,10,33919
2013,13,14,4,1742
2013,13,16,4,2539
2013,14,2,5,3225
2013,14,3,5,2234
2013,14,4,51,11420
2013,14,5,7,3389
2013,14,6,46,254383
2013,14,7,15,13278
2013,14,8,6,6045
2013,14,9,11,9941
2013,14,10,4,2200
2013,14,11,1,590
2013,14,12,4,6720
2013,14,13,4,2155
2013,14,14,47,97230
2013,14,16,8,8328
2013,16,2,53,61370
2013,16,3,7,15600
2013,16,4,7,4825
2013,16,5,1,502
2013,16,6,17,15007
2013,16,7,47,42227
2013,16,8,28,95807
2013,16,9,5,6226
2013,16,10,17,157948
2013,16,11,42,22527
2013,16,12,59,31231
2013,16,13,7,4254
2013,16,14,11,10778
2013,16,16,33,222178
2013,21,21,21,102660
2013,21,22,43,16929
2013,21,23,1,331
2013,21,24,8,37852
2013,21,25,8,3823
2013,21,26,1,249
2013,21,34,1,1730
2013,21,35,2,3409
2013,22,21,50,19414
2013,22,22,32,328578
2013,22,23,39,11982
2013,22,24,52,41984
2013,22,25,5,1880
2013,22,26,118,40553
2013,22,29,1,4068
2013,22,34,3,60353
2013,22,72,1,236
2013,23,22,31,86866
2013,23,23,16,13531
2013,23,24,8,3084
2013,23,25,14,3166
2013,23,26,18,17994
2013,24,21,7,2485
2013,24,22,8,5205
2013,24,23,8,2396
2013,24,24,11,371003
2013,24,26,2,485
2013,24,37,1,1378
2013,25,21,5,1403
2013,25,22,3,940
2013,25,23,9,3467
2013,25,24,2,327
2013,25,25,6,27491
2013,25,26,4,635
2013,26,16,1,229914
2013,26,21,1,225
2013,26,22,72,25483
2013,26,23,17,5607
2013,26,24,6,5204
2013,26,25,4,510
2013,26,26,3,641
2013,27,27,45,221018
2013,27,28,316,162823
2013,27,29,13,21548
2013,27,30,10,7537
2013,27,33,27,27785
2013,27,34,1,3836
2013,27,35,1,6210
2013,27,38,6,61591
2013,28,2,1,12539
2013,28,13,1,25953
2013,28,27,404,410649
2013,28,28,94,863166
2013,28,29,33,112557
2013,28,30,112,139398
2013,28,33,70,239402
2013,28,34,6,122033
2013,28,35,1,2835
2013,28,36,1,1709
2013,28,37,2,7676
2013,28,38,3,4704
2013,29,27,11,11142
2013,29,28,15,161007
2013,29,29,27,127932
2013,29,30,2,2728
2013,29,33,64,34713
2013,29,34,3,7902
2013,29,35,5,11611
2013,29,36,10,13677
2013,29,37,2,7640
2013,29,38,7,10212
2013,30,27,11,12647
2013,30,28,108,66447
2013,30,30,32,72641
2013,33,27,34,120946
2013,33,28,66,52193
2013,33,29,38,28029
2013,33,33,48,1363079
2013,33,35,5,10266
2013,33,36,5,7181
2013,33,38,2,5039
2013,34,22,2,10569
2013,34,24,2,3324
2013,34,28,2,6766
2013,34,29,6,8803
2013,34,33,1,3508
2013,34,34,72,370381
2013,34,35,23,242675
2013,34,36,57,42776
2013,34,37,93,195984
2013,34,38,52,47840
2013,35,22,1,4601
2013,35,27,1,27984
2013,35,28,2,7419
2013,35,29,8,13591
2013,35,33,2,3698
2013,35,34,12,29561
2013,35,35,210,2296096
2013,35,36,32,84600
2013,35,37,37,150444
2013,35,38,34,32565
2013,36,28,1,4088
2013,36,29,18,20440
2013,36,31,1,1696
2013,36,33,4,5498
2013,36,34,50,682499
2013,36,35,56,80842
2013,36,36,58,417144
2013,36,37,14,24894
2013,36,38,21,19324
2013,36,77,1,6598
2013,37,24,1,3006
2013,37,25,1,2070
2013,37,28,2,8093
2013,37,29,3,8498
2013,37,34,84,42438
